task_id,task_name,n_rows,n_features,n_classes,baseline_roc_auc_mean,baseline_accuracy_mean,seldon_roc_auc_mean,seldon_accuracy_mean,mynanotabpfn_roc_auc_mean,mynanotabpfn_accuracy_mean,osnanotabpfn_roc_auc_mean,osnanotabpfn_accuracy_mean
9946,wdbc,569,30,2,0.9216269841269842,0.6403508771929824,0.9975198412698412,0.9824561403508771,0.9917328042328043,0.8421052631578947,0.998015873015873,0.9824561403508771
9952,phoneme,5404,5,2,0.7993211884981914,0.7067530064754857,0.9671123259616496,0.9093432007400555,0.8245206203445257,0.7067530064754857,0.9030422646869374,0.8445883441258094
9957,qsar-biodeg,1055,41,2,0.5539235412474849,0.6635071090047393,0.9439134808853119,0.8815165876777251,0.8773641851106639,0.6635071090047393,0.937625754527163,0.8625592417061612
9960,wall-robot-navigation,5456,24,4,0.6982754408428516,0.40384615384615385,0.9998914459794634,0.9926739926739927,0.7082058737502728,0.4652014652014652,0.9989940971172614,0.9816849816849816
9964,semeion,1593,256,10,0.5969356477838972,0.10031347962382445,0.9992154034443571,0.9561128526645768,0.5974465097473555,0.13793103448275862,0.9530822655576786,0.7084639498432602
9976,madelon,2600,500,2,0.5271671597633136,0.5,0.9628328402366865,0.9019230769230769,0.5321745562130178,0.5134615384615384,0.7987426035502958,0.7423076923076923
9978,ozone-level-8hr,2534,72,2,0.46513157894736845,0.9368836291913215,0.9424013157894737,0.9585798816568047,0.7251973684210526,0.9368836291913215,0.9365789473684212,0.9368836291913215
9981,cnae-9,1080,856,9,0.5251736111111112,0.1111111111111111,0.9948881172839508,0.9074074074074074,0.5925443672839505,0.1111111111111111,0.9327015817901234,0.6574074074074074
9985,first-order-theorem-proving,6118,51,6,0.5497176487323213,0.12254901960784313,0.8582092343880903,0.6511437908496732,0.5479869959753976,0.1781045751633987,0.6958360998498093,0.45098039215686275
10093,banknote-authentication,1372,4,2,0.9510339654987678,0.8654545454545455,1.0,1.0,0.9612129004607307,0.88,1.0,1.0
10101,blood-transfusion-service-center,748,4,2,0.7640107212475634,0.76,0.7955653021442495,0.7866666666666666,0.7713206627680311,0.76,0.775706627680312,0.7933333333333333
14952,PhishingWebsites,11055,30,2,0.8237673867272335,0.5680687471732248,0.9986898821266932,0.9787426503844414,0.9647001773902086,0.8394391677973767,0.9852509159634609,0.9308005427408412
14969,GesturePhaseSegmentationProcessed,9873,32,5,0.46920698363032143,0.21265822784810126,0.957211252848331,0.8091139240506329,0.5417216330438592,0.27746835443037976,0.7675054328501705,0.48050632911392405
146800,MiceProtein,1080,77,8,0.5342653375210126,0.1388888888888889,1.0,1.0,0.6207329022143837,0.1388888888888889,0.9994351440961358,0.9861111111111112
146817,steel-plates-fault,1941,27,7,0.54335955572443,0.20051413881748073,0.9726725786863347,0.8046272493573264,0.5953253272170483,0.35989717223650386,0.9429000451474436,0.7352185089974294
146819,climate-model-simulation-crashes,540,18,2,0.6958473625140291,0.9166666666666666,0.9001122334455668,0.9537037037037037,0.9113355780022447,0.9166666666666666,0.9057239057239057,0.9444444444444444
146820,wilt,4839,5,2,0.45280483708431307,0.9462809917355371,0.9979425596237823,0.9907024793388429,0.5541862613369163,0.9462809917355371,0.996703896540141,0.987603305785124
146822,segment,2310,16,7,0.441017316017316,0.14285714285714285,0.9974310201582931,0.961038961038961,0.6436223708950981,0.2857142857142857,0.9925116970571517,0.9155844155844156
146824,mfeat-pixel,2000,240,10,0.5008194444444445,0.1,0.9992986111111112,0.97,0.6577361111111112,0.2,0.9865833333333333,0.8575
167119,jungle_chess_2pcs_raw_endgame_complete,18964,6,3,0.7045169927333287,0.6562918340026773,0.9760283702995323,0.8676929941990182,0.8057978276791017,0.7019187862561357,0.9046134550260728,0.7720883534136547
167120,numerai28.6,29264,21,2,0.49241136977932637,0.4948089700996678,0.5229749125061942,0.5181166943521595,0.514503792921811,0.4948089700996678,0.5145641871911242,0.5075269933554817
167140,dna,3186,180,3,0.7517781157815882,0.23981191222570533,0.9981416590148703,0.9733542319749217,0.9762448222735248,0.542319749216301,0.9932088238495741,0.9435736677115988
167141,churn,5000,20,2,0.7134223367101776,0.859,0.9290821423558648,0.965,0.8329906951015118,0.859,0.8936005085907248,0.915
